batch,response_id,slot,original_filename,local_path,sha256,bytes,mime,bucket,storage_path,status,public_url,notes
1,8lelyeubgzgdydcccd68lelyeu4x03n8,front,Danny_FFV.JPG,8lelyeubgzgdydcccd68lelyeu4x03n8/52cf0bdde1ec-Danny_FFV.JPG,9b7e803d5b846fe4e1ebbebb40ae15f555fa22c210436b79fed8d3b80f93982c,2493379,image/jpeg,photos,typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/front.jpg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/front.jpg,
1,8lelyeubgzgdydcccd68lelyeu4x03n8,rear,Danny_FRV.JPG,8lelyeubgzgdydcccd68lelyeu4x03n8/7e259a17cb61-Danny_FRV.JPG,68d62eb4018c5de3ea393084f9831ea4a495955c30de4b381b1db034981dac49,2456773,image/jpeg,photos,typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/rear.jpg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/rear.jpg,
1,8lelyeubgzgdydcccd68lelyeu4x03n8,cv,Etse.pdf,8lelyeubgzgdydcccd68lelyeu4x03n8/aa61f207d046-Etse.pdf,e377dc3c0c3c4b5bb1de20b5d3ade491048d3f5d5ebb8271c16da646327030d5,104506,application/pdf,cvs,typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/cv.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/cv.pdf,
1,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4,portrait,IMG_0480.JPG,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/021142f57a7e-IMG_0480.JPG,cccb0c683df7ed092cf2833e386d87710f0d825c928f0151a96c61813c440273,140195,image/jpeg,photos,typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/portrait.jpg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/portrait.jpg,
1,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4,cv,HENRY_LAMPTEY_new_edit.docx,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/7141ffec3997-HENRY_LAMPTEY_new_edit.docx,81882eb06a0b87aa2a9591d6280ddde0c1d6f932fe06d250a7796d907c77ee63,18401,application/vnd.openxmlformats-officedocument.wordprocessingml.document,cvs,typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/cv.docx,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/cv.docx,
1,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4,front,IMG_20221231_WA0009.jpg,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/7c8716dcd4b3-IMG_20221231_WA0009.jpg,9972a16f5277031c318d690f85f2ced5a26ded334cf98e1d83834dc254272ccc,124540,image/jpeg,photos,typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/front.jpg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/front.jpg,
1,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4,rear,53840c2f_6091_43bb_97ff_915f52eb3728.jpg,9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/a68ee62ae982-53840c2f_6091_43bb_97ff_915f52eb3728.jpg,d5b4105cb4da0a79d14440a6ac5138e5f80a93e17e0256a1535d9050ea1cd973,448168,image/jpeg,photos,typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/rear.jpg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/9ai5ldjlb9g7i07e4x9ai5lnbb2xd9v4/rear.jpg,
1,9vvvyrr0ujb0yx3kon29vvvyrr0lorwo,portrait,a27b7cfd_9a5a_4736_905c_6c3948a30174.jpeg,9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/5bea1e9b9bea-a27b7cfd_9a5a_4736_905c_6c3948a30174.jpeg,e7c77aaf3c83b995153e7aac86dc5e94b4ac4c9393e50e56ae219bd437fc244e,210230,image/jpeg,photos,typeform-2024/9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/portrait.jpeg,
1,9vvvyrr0ujb0yx3kon29vvvyrr0lorwo,rear,dsc_0216.jpeg,9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/90045c1b5c9e-dsc_0216.jpeg,20c1e7b672a69fbc53ff18fcd3ea5c3fe50d00ffa5f9b2a71cfc771ca2171618,4514743,image/jpeg,photos,typeform-2024/9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/rear.jpeg,
1,9vvvyrr0ujb0yx3kon29vvvyrr0lorwo,cv,Elroy_s_football_CV_new.pdf,9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/a99d80e4b1dd-Elroy_s_football_CV_new.pdf,285bad67d26ffead37a20c322f6dfc020fd246dab628ee1b94785c6a705a03c2,158180,application/pdf,cvs,typeform-2024/9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/cv.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/9vvvyrr0ujb0yx3kon29vvvyrr0lorwo/cv.pdf,
